barcode,product_name,brands,categories,ingredients,energy_kcal,fat_g,saturated_fat_g,carbohydrates_g,sugars_g,fiber_g,protein_g,salt_g,sodium_g,nutriscore_grade,nutriscore_score,nova_group
6111242100992,Perly,Jaouda,"Snacks, Plain fermented dairy desserts with cream","milk cream, cream, sugar, banana, bacteria",97,3,0,9.4,9.4,0,8,0,0,a,0,3 - Processed foods
8901719134845,Parle-G Biscuit,Parle,Dry biscuits,"REFINED WHEAT FLOUR (MAIDA) 68%, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP (SUGAR, CITRIC ACID), IODISED SALT, RAISING AGENTS [INS 503(ii), 500(ii)], MILK SOLIDS, FLOUR TREATMENT AGENTS [INS 1101(ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [INS 472e] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCE - VANILLA)mm",454,13,6,77.3,25.5,0,6.9,0.74,0.296,e,20,4 - Ultra processed food and drink products
8901719134852,Parle G biscuit,Parle,Biscuits,Energy.protrin.carbohydrate.,3.4,13,6,77.3,25.5,0,6.9,0,0,d,13,
8901063139329,bourbon,britannia,Biscuits,"Flavoured Sandwich BiscuitsINGREDIENTS: REFINED WHEAT FLOUR (MAIDAL SUGAR (331 Nutr REFINED PALM OIL, EDIBLE MAIZE STARCH, COCOA SOLIDS (2:7% Per 1 MILK SOLIDS, RAISING AGENTS (500i)& 503(0)1, EMULSIRERS r (471& 322(0)) AND IODISED SALT, CONTAINS PERMITTED HATURAL (150a&150d)&SYNTHETIC (122,110, 133&102) FOOD COLOURS AND ADDED FLAVOURS (NATURE IDENTICAL&ARTIFICIAL (VANILLA, CHOCOLATE MILK MILKY COCOA) FLAVOURING SUBSTANCES (Numbers in brackets as per International Numbering System CONTAINS WHEAT, MILK AND SOYA STORE IN A CO00L, HYGIENIC AND DRY PLACE TRANSFER wChole CONTENTS T0 A CLEAN AIRTIGHT CONTAINER ONCE OPENEDof wFatEner",492,19.9,7.7,73.4,37,0,4.7,295,118,e,43,4 - Ultra processed food and drink products
8906010500764,balaji wafers chataka pataka,Balaji,"Biscuits, Crisps, Crackers (Appetizers), namkeen","RICE MEAL (43%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), CORN MEAL (3%), CHICKPEA FLOUR, EDIBLE COMMON SALT, SPICES & CONDIMENTS 2% (CUMIN, CHILLI BLACK PEPPER, DRY MANGO), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC) SUGAR, ACIDITY REGULATOR (INS 330), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631), NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES (GARLIC, BLACK PEPPER), PAPRIKA EXTRACT (INS 160C)",514,25,12,63.3,2,0,7,0.868,0.3472,e,20,4 - Ultra processed food and drink products
8901063093522,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)","INGREDIENTS REFINED WHEAT FLOUR (MAIDA), EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW NUTS (4.5%), INVERT SYRUP, MILK SOLIDS, BUTTER (96%), RAISING AGENTS (503&5000TH 100ISED SALT AND EMULSIFIERS (322,471,472) CONTAINS ADDED FLAVOURS (NATURE IDENTICAL AND ARTIFICIAL (MILK AND VANILLA) FLAVOURING SUBSTANCES! (Numbers in brackets as per laternational Numbering System) CONTAINS WHEAT, NUTS, MILK AND SOYA.",512,24,11,67,22,0,7,0,0,unknown,0,4 - Ultra processed food and drink products
8901063162914,Marie Gold Biscuit,Britannia,Biscuits,"REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK), RAISING AGENTS [503(i)&500), 10DISED SALT, MINERALS, ARTIFICIAL (MILK & VANILLA) & NATURE IDENTICAL FLAVOURING SUBSTANCES, EMULSIFIER (472e), DOUGH CONDITIONER (223) VITAMINS AND COLOUR (150d).",445,10.6,5.1,79.5,21.2,0,7.9,0.79,0.316,e,19,4 - Ultra processed food and drink products
8906010500245,Balaji Wafers Masala Sev Murmura,Balaji Wafers,Wafers,,482,23.2,10.5,53.8,9.4,7,10.9,2.0275,0.811,e,24,
8906010502232,Balaji wafers panjabi tadka,Balaji,"Crisps, Namkeen","EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), POTATO FLAKES (23%), CHICKPEA FLOUR (19%), MOTH BEAN FLOUR, STARCH, BLACK SALT, EDIBLE COMMON SALT, SUGAR, DEHYDRATED VEGETABLE POWDER ONION GARLIC, SPICES & CONDIMENTS (CHILLI, DRY MANGO, CUMIN, CORIANDER TURMERIC, NUTMEG, MACE), MILK SOLIDS (WHEY) (0.06%), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 296, INS 330 ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631 TURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, CUMIN",608,43.9,20.7,42.3,2,6.5,7.7,2.5825,1.033,e,25,4 - Ultra processed food and drink products
8906010500900,wheels,Balaji,Appetizers,"REFINED WHEAT FLOUR (MAIDA) (60%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), TAPIOCA STARCH, CORN FLOUR, EDIBLE COMMON SALT, DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TAMARIND), SPICES & CONDIMENTS 2% (DRY MANGO, CHILLI, PEPPER, CUMIN), SUGAR, YEAST EXTRACT, ACIDITY REGULATOR (INS 296, INS 330, INS 334), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MASALA), FLAVOUR ENHANCER (INS 627, INS 631), ANTICAKING AGENT (INS 551, INS 341 (III)), PAPRIKA EXTRACT (INS 160C).",484,21.5,10.3,62.6,3,0,75,355942.5,142377,e,36,4 - Ultra processed food and drink products
8906010500023,POTATO WAFERS,Balaji,"Appetizers, POTATO WAFERS","POTATO (89%), EDIBLE VEGETABLE OIL (PALMOLEIN), EDIBLE COMMON SALT (0.4%).",0,32.9,15.7,53.4,0.8,7.2,7.7,962.5,385,e,27,3 - Processed foods
7622202225512,Original Oreo,Cadbury,"Filled biscuits, Des","Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%) Lening Agents 50g (i), 503(ii), Starch, lodised Salt, Emulsifies Naturetical Flavouring Substances. Allergen Inition Contains Wheat, Sulphite, Soy. May Contain and Barley. T&C apply €40 e 2025/7/18 21:04",483,19.6,9.7,71.9,38.9,0,5.2,1.05,0.42,e,31,4 - Ultra processed food and drink products
8901063092853,Good Day cashew cookie,Britannia,Biscuits,"REFINED WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW BUTS (4.5%), INTERESTERIFIED VEGETABLE FAT, COCOA SOLIDS (3%), INVERT SYRUP, MILK SOLIDS, BUTTER (0.6%) RAISING AGENTS [503(II), 500(II), IODISED SALT AND EMULSIFIER(322, 471, 472E). CONTAINS ADDED FLAVOURS [NATURE IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES - MILK AND VANILLA]",504,24,11,65,22,0,7,0.545,0.218,e,24,4 - Ultra processed food and drink products
8901719129988,Happy happy - Parl,Parle,"Biscuits, Happy happy biscuit","REFINED WHEAT FLOUR(MAIDA), SUGAR, REFINED PALM OIL, CHOCO CHIPS(8.4%), [SUGAR, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), COCOA SOLIDS, DEXTROSE, EMULSIFIER (SOY LECITHIN) AND ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)], INVERT SUGAR SYRUP, COCOA SOLIDS (0.5%), IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)] AND EMULSIFIER OF VEGETABLE ORIGIN (472e) CONTAINS PERMITTED NATURAL FOOD COLOURS [ 150c, 150d ] AND ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES - CHOCOLATE).",469,15.9,8.6,75.2,31,0,6.1,0,0.205,e,21,4 - Ultra processed food and drink products
7622202334009,dairy milk,"Cadbury, Dairy Milk",Milk chocolates,,525,27.9,18.7,62.6,58.8,0,6.8,0.2675,0.107,e,32,
8906010500627,Chataka Pataka Tangy Tomato,Balaji,"Crisps, Chatapataka, Chis","Rice meal (42%), edible vegetable oil (palmolein, rice bran), corn meal (13%), chickpea flour, sugar, edible common salt, dehydrated vegetable powder (tomato (0.8%), onion, garlic), chilli powder, anticaking agent (ins 551), emulsifier (ins 414), flavour enhancer (ins 627, ins 631), natural & nature identical flavouring substances (tomato).",554,33.2,16,56.2,5,0,6.5,1.775,0.71,e,25,4 - Ultra processed food and drink products
8901491100519,Kurkure,Kurkure,"Crisps, Namkeen","Cereal Products (66%) (Rice Meal (43.5%), Corn Meal (23%)), Edible Vegetable Oil (Palmolein),*Seasoning (~Spices and Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour(160c), Maltodextrin) , Gram Meal (0.5%).",557,33.7,7.7,57.7,2.2,0,6,1.99,0.796,e,22,4 - Ultra processed food and drink products
8901063029255,Jimjam 57g (57),Britannia,Biscuits,"REFINED WHEAT FLOUR (MAIDA), SUGAR (24%), REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, DEXTROSE, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED MILK), EDIBLE MAIZE STARCH, MALTODEXTRIN, FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE, BANANA POWDER & PLUM JUICE CONCENTRATE), IODISED SALT, EMULSIFIERS [322(i) & 471], RAISING AGENTS [503(ii) & 500(ii)], NATURE IDENTICAL AND ARTIFICIAL (MIXED FRUIT, VANILLA & BUTTER) FLAVOURING SUBSTANCES, ACIDITY REGULATORS (330 & 331), GELLING AGENT (440) AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SOYA. ydrate-73g, of which Total 31 Total Fat-19g/141 no unsaturated fatty acids-7.29 fss Lic. No. 10015 100120260N For Mfg unit address & Lic. No. read the last two characters of CWALIOR 474005, MADHYA PRADESH Lic. No. the &quot;Lot No. and see address panel. 06-1.8. MANGHARAM FOODS 01129",483,19,9.5,73,32.9,0,5,0,211,d,18,4 - Ultra processed food and drink products
8906010502119,Chataka pataka,Balaji,"Crisps, Chataka pataka",,551,32.7,15,55.5,1,1,6.8,1,0.4,d,14,
8906010502294,Flaming hot nachos,,Crisps,"CORN (74%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), EDIBLE COMMON SALT, CHILLI POWDER, BLACK SALT, MALTODEXTRIN, DEHYDRATED VEGETABLE POWDER (GARLIC, ONION, LEMON), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 330), FLAVOUR ENHANCER (INS 627, INS 631), YEAST EXTRACT, OREGANO, ANTICAKING AGENT (INS 551), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, LEMON), PAPRIKA EXTRACT (INS 160C).",557,30.9,14,57,0.1,0,9,1.79,0.716,e,24,4 - Ultra processed food and drink products
8906010500078,Balaji Farali Chivda,Balaji Namkeen,Snacks,"POTATO (75%) ROASTED PEANUT (12%), EDIBLE VEGETABLE OIL, SUGAR, ROCK SALT, SPICES & CONDIMENTS (CHILLI, TURMERIC, DRY MANGO, CLOVE, CAROM SEED, CARDAMOM NUTMEG, MACE, BAY LEAVES).",589,38.9,14,8,8,7.6,15.2,1.01,0.404,d,17,3 - Processed foods
